,Title,Description,Date Created,Origin,Author,Recipient,Start,start_lat,start_long,Year,Month,Day,Month Name,Season,Color
673,"Letter to the Cope Brothers, 1860 November 10",,1860-11-10,Wilmington (Del.),Author (aut): Cope Brothers,,"{'lat': 39.74583333, 'long': -75.5463888888889}",39.74583333,-75.5463888888889,1860,11,10,November,Fall,orange
674,"Letter from Thomas Wattson to Francis R. Cope, 1860 November 12",,1860-11-12,Philadelphia (Pa.),"Author (aut): Wattson, Thomas","Addressee (rcp): Cope, Francis Reeve, 1821-1909","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1860,11,12,November,Fall,orange
675,"Letter from Rye McDowell to the Cope Brothers, 1860 November 15",,1860-11-15,Wilmington (Del.),"Author (aut): McDowell, Rye",Addressee (rcp): Cope Brothers,"{'lat': 39.74583333, 'long': -75.5463888888889}",39.74583333,-75.5463888888889,1860,11,15,November,Fall,orange
676,"1860 November 19, Woodbourne, to Dear Nephews, Philadelphia",,1860-11-19,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873",,"{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1860,11,19,November,Fall,orange
677,"Letter from Rebecca Drinker to the Cope Brothers, 1860 November 19",,1860-11-19,Luzerne County (Pa.),"Author (aut): Drinker, Rebecca Waln, 1792-1878",Addressee (rcp): Cope Brothers,"{'lat': 41.17694444, 'long': -75.9888888888889}",41.17694444,-75.9888888888889,1860,11,19,November,Fall,orange
678,"Letter from Rye McDowell to the Cope Brothers, 1860 November 19",,1860-11-19,Wilmington (Del.),"Author (aut): McDowell, Rye",Addressee (rcp): Cope Brothers,"{'lat': 39.74583333, 'long': -75.5463888888889}",39.74583333,-75.5463888888889,1860,11,19,November,Fall,orange
679,"Letter from Margaret Rumford to ""Mr. Cope and Brothers"", 1860 November 22",,1860-11-22,Wilmington (Del.),"Author (aut): Rumford, Margaret",Addressee (rcp): Cope Brothers,"{'lat': 39.74583333, 'long': -75.5463888888889}",39.74583333,-75.5463888888889,1860,11,22,November,Fall,orange
680,"Letter from Rebecca Drinker to the Cope Brothers, 1860 November 26",,1860-11-26,Luzerne County (Pa.),"Author (aut): Drinker, Rebecca Waln, 1792-1878",Addressee (rcp): Cope Brothers,"{'lat': 41.17694444, 'long': -75.9888888888889}",41.17694444,-75.9888888888889,1860,11,26,November,Fall,orange
682,"Letter from J. Hawkins to Messrs. Cope and Brothers, 1860 December 17",,1860-12-17,Wilmington (Del.),"Author (aut): Hawkins, J.",Addressee (rcp): Cope Brothers,"{'lat': 39.74583333, 'long': -75.5463888888889}",39.74583333,-75.5463888888889,1860,12,17,December,Winter,darkred
683,"Letter from Duane Williams to Messrs. Cope Brothers, 1860 December 17",,1860-12-17,Philadelphia (Pa.),"Author (aut): Williams, Duane",Addressee (rcp): Cope Brothers,"{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1860,12,17,December,Winter,darkred
684,"Letter from F. C. Yarnall to the Cope Brothers, 1860 December 17",,1860-12-17,"Overbrook (Philadelphia, Pa.)","Author (aut): Yarnall, Francis Cope, 1830-1890",Addressee (rcp): Cope Brothers,"{'lat': 39.98916667, 'long': -75.2430555555556}",39.98916667,-75.2430555555556,1860,12,17,December,Winter,darkred
685,"Letter from Rebecca Drinker to the Cope Brothers, 1860 December 18",,1860-12-18,Luzerne County (Pa.),"Author (aut): Drinker, Rebecca Waln, 1792-1878",Addressee (rcp): Cope Brothers,"{'lat': 41.17694444, 'long': -75.9888888888889}",41.17694444,-75.9888888888889,1860,12,18,December,Winter,darkred
686,"Letter from Garrett & Son to the Cope Brothers, 1860 December 20",,1860-12-20,Wilmington (Del.),Author (aut): Garrett & Son,Addressee (rcp): Cope Brothers,"{'lat': 39.74583333, 'long': -75.5463888888889}",39.74583333,-75.5463888888889,1860,12,20,December,Winter,darkred
688,"Letter from J.W. Wayne to Messrs. Cope Bros, 1860 December 29",,1860-12-29,Baltimore (Md.),"Author (aut): Wayne, J.W.",Addressee (rcp): Cope Brothers,"{'lat': 39.29027778, 'long': -76.6119444444444}",39.29027778,-76.6119444444444,1860,12,29,December,Winter,darkred
689,"Letter from Thomas J. Styker to the Cope Brothers, 1860 December 31",,1860-12-31,Trenton (N.J.),"Author (aut): Styker, Thomas J.",Addressee (rcp): Cope Brothers,"{'lat': 40.21694444, 'long': -74.7427777777778}",40.21694444,-74.7427777777778,1860,12,31,December,Winter,darkred
692,"1861 April 28, Woodbourne, to My dear little cousin Anne",,1861-04-28,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, Clementine, 1835-1903","Addressee (rcp): Cope, Ruthanna, 1834-1879","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1861,4,28,April,Spring,green
693,"1861 August 12, Cape Island, N.J., to Father, Mother, & Aunt Mary",,1861-08-12,Cape May (N.J.),"Author (aut): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Addressee (rcp): Cope, Francis Reeve, 1821-1909|Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916|Addressee (rcp): Haines, Mary D. (Mary Drinker Cope), 1819-1890","{'lat': 38.935, 'long': -74.9058333333333}",38.935,-74.9058333333333,1861,8,12,August,Summer,yellow
694,"1861 August 16, Awbury, to Dear Daughter",,1861-08-16,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939","{'lat': 40.05055556, 'long': -75.1666666666667}",40.05055556,-75.1666666666667,1861,8,16,August,Summer,yellow
695,"1861 August 21, Awbury, to My dear Lillie",At the end is a note written by a second hand commenting on the visit mentioned in the letter.,1861-08-21,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Anna Stewardson Brown, 1822-1916","Addressee (rcp): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","{'lat': 40.05055556, 'long': -75.1666666666667}",40.05055556,-75.1666666666667,1861,8,21,August,Summer,yellow
696,"1861 August 24, Awbury, to Daughter",The daughter to whom the letter is addressed could be either Elizabeth Stewardson Cope or Rachel Reeve Cope Evans.,1861-08-24,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909",,"{'lat': 40.05055556, 'long': -75.1666666666667}",40.05055556,-75.1666666666667,1861,8,24,August,Summer,yellow
698,"1861 November 12, Awbury, to Mama",,1861-11-12,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Alfred, 1857-1897","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916","{'lat': 40.05055556, 'long': -75.1666666666667}",40.05055556,-75.1666666666667,1861,11,12,November,Fall,orange
699,"1861 November 12, Awbury, Pa. to Anna","Watermark says ""JM Willcox Philadelphia""",1861-11-12,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916","{'lat': 40.05055556, 'long': -75.1666666666667}",40.05055556,-75.1666666666667,1861,11,12,November,Fall,orange
700,"1861 November 13, Newport, to Chellie",,1861-11-13,Newport (R.I.),"Author (aut): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939","{'lat': 41.49, 'long': -71.3127777777778}",41.49,-71.3127777777778,1861,11,13,November,Fall,orange
701,"1861 November 13, Awbury, to Lillie",,1861-11-13,"Awbury (Philadelphia, Pa.)","Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","{'lat': 40.05055556, 'long': -75.1666666666667}",40.05055556,-75.1666666666667,1861,11,13,November,Fall,orange
702,"1861 November 14, Newport, to My dear Frank",,1861-11-14,Newport (R.I.),"Author (aut): Cope, Anna Stewardson Brown, 1822-1916","Addressee (rcp): Cope, Francis Reeve, 1821-1909","{'lat': 41.49, 'long': -71.3127777777778}",41.49,-71.3127777777778,1861,11,14,November,Fall,orange
703,"1861 November 15, Awbury, to Dear Anna, Newport",,1861-11-15,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916","{'lat': 40.05055556, 'long': -75.1666666666667}",40.05055556,-75.1666666666667,1861,11,15,November,Fall,orange
704,"1861 November 20, Newport, to Daughter",Letter on third page written by Anna Stewardson Cope to Amelia.,1861-11-20,Newport (R.I.),"Author (aut): Cope, Francis Reeve, 1821-1909|Author (aut): Cope, Anna Stewardson Brown, 1822-1916","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939","{'lat': 41.49, 'long': -71.3127777777778}",41.49,-71.3127777777778,1861,11,20,November,Fall,orange
705,"1861 November 23, Clifton, Dear cousin",,1861-11-23,Luzerne County (Pa.),"Author (aut): Drinker, Robert W. b. 1834","Addressee (rcp): Cope, Alfred, 1806-1875","{'lat': 41.17694444, 'long': -75.9888888888889}",41.17694444,-75.9888888888889,1861,11,23,November,Fall,orange
706,"1861 November 25, Newport, to Chellie","Note at bottom of first page signed by F.R.C (Francis Reeve Cope); includes sketch by Thomas Pim Cope, son of Francis Reeve Cope and Anna Stewardson Cope",1861-11-25,Newport (R.I.),"Author (aut): Cope, Anna Stewardson Brown, 1822-1916|Author (aut): Cope, Francis Reeve, 1821-1909|Author (aut): Cope, Thomas P. (Thomas Pim), 1852-1944","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939","{'lat': 41.49, 'long': -71.3127777777778}",41.49,-71.3127777777778,1861,11,25,November,Fall,orange
709,"Letter from Joseph Waln Stokes to Francis Stokes c/o William Stokes, 1862 March 12",,1862-03-12,Saint Paul (Minn.),"Author (aut): Stokes, Joseph Waln, 1838-1899","Addressee (rcp): Stokes, Francis, 1833-1917|Addressee (rcp): Stokes, William A. (William Axton), 1814?-1877","{'lat': 44.94416667, 'long': -93.0930555555556}",44.94416667,-93.0930555555556,1862,3,12,March,Spring,green
710,"Letter from Joseph Waln Stokes to Francis Stokes, 1862 March 15",,1862-03-15,Saint Paul (Minn.),"Author (aut): Stokes, Joseph Waln, 1838-1899","Addressee (rcp): Stokes, Francis, 1833-1917","{'lat': 44.94416667, 'long': -93.0930555555556}",44.94416667,-93.0930555555556,1862,3,15,March,Spring,green
711,"Letter from Joseph Waln Stokes to Francis Stokes c/o William Stokes, 1862 March 17",,1862-03-17,Saint Paul (Minn.),"Author (aut): Stokes, Joseph Waln, 1838-1899","Addressee (rcp): Stokes, Francis, 1833-1917|Addressee (rcp): Stokes, William A. (William Axton), 1814?-1877","{'lat': 44.94416667, 'long': -93.0930555555556}",44.94416667,-93.0930555555556,1862,3,17,March,Spring,green
712,"Letter from Joseph Waln Stokes to Francis Stokes c/o William Stokes, 1862 March 18",,1862-03-18,Saint Paul (Minn.),"Author (aut): Stokes, Joseph Waln, 1838-1899","Addressee (rcp): Stokes, Francis, 1833-1917|Addressee (rcp): Stokes, William A. (William Axton), 1814?-1877","{'lat': 44.94416667, 'long': -93.0930555555556}",44.94416667,-93.0930555555556,1862,3,18,March,Spring,green
713,"Letter from Joseph Waln Stokes to Francis Stokes, 1862 April 2",,1862-04-02,Saint Paul (Minn.),"Author (aut): Stokes, Joseph Waln, 1838-1899","Addressee (rcp): Stokes, Francis, 1833-1917","{'lat': 44.94416667, 'long': -93.0930555555556}",44.94416667,-93.0930555555556,1862,4,2,April,Spring,green
714,"1862 May 8, Clifton, to Henry Cope",,1862-05-08,Luzerne County (Pa.),"Author (aut): Drinker, Rebecca Waln, 1792-1878","Addressee (rcp): Cope, Henry, 1793-1865","{'lat': 41.17694444, 'long': -75.9888888888889}",41.17694444,-75.9888888888889,1862,5,8,May,Spring,green
715,"1862 May 8, Clifton, to Dear Cousin",,1862-05-08,Luzerne County (Pa.),"Author (aut): Drinker, Rebecca Waln, 1792-1878",,"{'lat': 41.17694444, 'long': -75.9888888888889}",41.17694444,-75.9888888888889,1862,5,8,May,Spring,green
717,"1862 June 14, Philadelphia, to My dear son, Westtown",,1862-06-14,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Thomas Pim, 1823-1900","Addressee (rcp): Cope, Henry, 1850-1924","{'lat': 40.05055556, 'long': -75.1666666666667}",40.05055556,-75.1666666666667,1862,6,14,June,Summer,yellow
720,"1862 June 22, Connymede, to Dearest Cousin Sarah",,1862-06-22,"Overbrook (Philadelphia, Pa.)","Author (aut): Cope, Caroline E. (Caroline Elizabeth), 1840-1944","Addressee (rcp): Walker, Sarah Miller, 1799-1874","{'lat': 39.98916667, 'long': -75.2430555555556}",39.98916667,-75.2430555555556,1862,6,22,June,Summer,yellow
721,"1862 June 24, Philadelphia, to Cousin",,1862-06-24,Philadelphia (Pa.),"Author (aut): Cope, John E.","Addressee (rcp): Cope, Henry, 1793-1865","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1862,6,24,June,Summer,yellow
722,"1862 June 26, Mauch Chunk, to Wife",,1862-06-26,Jim Thorpe (Pa.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916","{'lat': 40.87583333, 'long': -75.7322222222222}",40.87583333,-75.7322222222222,1862,6,26,June,Summer,yellow
723,"1862 March 3, Philadelphia, to Rebecca Drinker",,1862-06-27,Philadelphia (Pa.),"Author (aut): Cope, Henry, 1793-1865|Author (aut): Drinker, Rebecca Waln, 1792-1878",,"{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1862,6,27,June,Summer,yellow
724,"1862 June 27, Philadelphia, to My dear Harry",,1862-06-27,Philadelphia (Pa.),"Author (aut): Cope, Thomas Pim, 1823-1900","Addressee (rcp): Cope, Henry, 1850-1924","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1862,6,27,June,Summer,yellow
726,"1862 July 10, Philadelphia, to My dear Harry, Westtown",,1862-07-10,Philadelphia (Pa.),"Author (aut): Cope, Thomas Pim, 1823-1900","Addressee (rcp): Cope, Henry, 1850-1924","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1862,7,10,July,Summer,yellow
727,"1862 July 21, Clifton, to Cousin Alfred",,1862-07-21,Luzerne County (Pa.),"Author (aut): Drinker, Robert W. b. 1834","Addressee (rcp): Cope, Alfred, 1806-1875","{'lat': 41.17694444, 'long': -75.9888888888889}",41.17694444,-75.9888888888889,1862,7,21,July,Summer,yellow
728,"Letter from Henry Cope and Alfred Cope to Abraham Lincoln, 1862 August 2",,1862-08-02,Philadelphia (Pa.),"Author (aut): Cope, Henry, 1793-1865|Author (aut): Cope, Alfred, 1806-1875","Addressee (rcp): Lincoln, Abraham, 1809-1865","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1862,8,2,August,Summer,yellow
729,"1862 August 7, Scranton Pa, to Alfred Cope Esq","Further information about Charles M. Drinker and his family is unavailable in Haverford's archives.

On the reverse side of the letter is written: C M Drinker 8/62",1862-08-07,Scranton (Pa.),"Author (aut): Drinker, Charles M.","Addressee (rcp): Cope, Alfred, 1806-1875","{'lat': 41.40916667, 'long': -75.6647222222222}",41.40916667,-75.6647222222222,1862,8,7,August,Summer,yellow
731,"1862 August 21, Awbury, to Dear Frank",,1862-08-21,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Anna Stewardson Brown, 1822-1916","Addressee (rcp): Cope, Francis Reeve, 1821-1909","{'lat': 40.05055556, 'long': -75.1666666666667}",40.05055556,-75.1666666666667,1862,8,21,August,Summer,yellow
732,"1862 August 21, to Wife","8.21.1862 F.R.C. and T.P.C., Jr. Year Anna was born & Algie died - To be kept in unknown hand, but most likely that of Elizabeth Stewardson Cope.",1862-08-21,Atlantic City (N.J.),"Author (aut): Cope, Francis Reeve, 1821-1909|Author (aut): Cope, Thomas P. (Thomas Pim), 1852-1944","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916","{'lat': 39.36388889, 'long': -74.4230555555556}",39.36388889,-74.4230555555556,1862,8,21,August,Summer,yellow
733,"1862 August 22, Philadelphia, to My dear Harry, Westtown",,1862-08-22,Philadelphia (Pa.),"Author (aut): Cope, Thomas Pim, 1823-1900","Addressee (rcp): Cope, Henry, 1850-1924","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1862,8,22,August,Summer,yellow
734,"1862 August 24, Awbury, to My dear children",,1862-08-24,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Anna Stewardson Brown, 1822-1916","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939|Addressee (rcp): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937|Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1852-1944","{'lat': 40.05055556, 'long': -75.1666666666667}",40.05055556,-75.1666666666667,1862,8,24,August,Summer,yellow
735,"1862 August 24, Awbury, to My dearest Frank",,1862-08-24,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Anna Stewardson Brown, 1822-1916","Addressee (rcp): Cope, Francis Reeve, 1821-1909","{'lat': 40.05055556, 'long': -75.1666666666667}",40.05055556,-75.1666666666667,1862,8,24,August,Summer,yellow
736,"1862 August 24, Atlantic City, to Dear Anna",,1862-08-24,Atlantic City (N.J.),"Author (aut): Cope, Francis Reeve, 1821-1909|Author (aut): Cope, Alfred, 1857-1897","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916","{'lat': 39.36388889, 'long': -74.4230555555556}",39.36388889,-74.4230555555556,1862,8,24,August,Summer,yellow
739,"1862 August 26, to Daughters",,1862-08-26,Philadelphia (Pa.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937|Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1862,8,26,August,Summer,yellow
740,"1862 August 31 (?), Connymeade, to Dearest cousin S",,1862-08-31,"Overbrook (Philadelphia, Pa.)","Author (aut): Cope, Caroline E. (Caroline Elizabeth), 1840-1944",,"{'lat': 39.98916667, 'long': -75.2430555555556}",39.98916667,-75.2430555555556,1862,8,31,August,Summer,yellow
741,"1862 September 2, Philadelphia, to My dear harry, Westtown",,1862-09-02,Philadelphia (Pa.),"Author (aut): Cope, Thomas Pim, 1823-1900","Addressee (rcp): Cope, Henry, 1850-1924","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1862,9,2,September,Fall,orange
742,"Letter from Pennsylvania to Francis Stokes regarding his conscientious objection from the Civil War draft, 1862 September 15",,1862-09-15,Philadelphia (Pa.),Author (aut): Commonwealth of Pennsylvania,"Addressee (rcp): Stokes, Francis, 1833-1917","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1862,9,15,September,Fall,orange
743,"1862 September 17, to Chellie",,1862-09-17,Philadelphia (Pa.),"Author (aut): Biddle, Anna S.","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1862,9,17,September,Fall,orange
746,"1862 October 21, Germantown, to My dear Friend",,1862-10-21,"Germantown (Philadelphia, Pa.)","Author (aut): Haines, Mary Rhoads, 1819-1905","Addressee (rcp): Cope, Francis Reeve, 1821-1909","{'lat': 40.04333333, 'long': -75.18}",40.04333333,-75.18,1862,10,21,October,Fall,orange
747,"1862 November 27, New York, to Cousin","See also Charles G. Drinker's of December 12, 1862.",1862-11-27,New York (N.Y.),"Author (aut): Drinker, Charles G.",,"{'lat': 40.71416667, 'long': -74.0058333333333}",40.71416667,-74.0058333333333,1862,11,27,November,Fall,orange
749,"1862 December 3, Connymeade, to Cousin Sarah",,1862-12-03,"Overbrook (Philadelphia, Pa.)","Author (aut): Cope, Clementine, 1835-1903",,"{'lat': 39.98916667, 'long': -75.2430555555556}",39.98916667,-75.2430555555556,1862,12,3,December,Winter,darkred
750,"1862 December 12, New York, to Cousin","See also Charles G. Drinker's of November 27, 1862.",1862-12-12,New York (N.Y.),"Author (aut): Drinker, Charles G.",,"{'lat': 40.71416667, 'long': -74.0058333333333}",40.71416667,-74.0058333333333,1862,12,12,December,Winter,darkred
753,"1863 February 8, Connymede, to Cousin Sarah",,1863-02-08,"Overbrook (Philadelphia, Pa.)","Author (aut): Cope, Caroline E. (Caroline Elizabeth), 1840-1944","Addressee (rcp): Walker, Sarah Miller, 1799-1874","{'lat': 39.98916667, 'long': -75.2430555555556}",39.98916667,-75.2430555555556,1863,2,8,February,Winter,darkred
754,"Letter from Joseph Snowdon Clark to Congress concerning the Society of Friends' position on the Civil War, 1863 February 24",,1863-02-24,Philadelphia (Pa.),"Author (aut): Clark, Joseph Snowdon",Addressee (rcp): United States. Congress,"{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1863,2,24,February,Winter,darkred
755,"1863 March 9, Linden St, to Anna S. Cope my dear Friend",,1863-03-09,Philadelphia (Pa.),"Author (aut): Haines, Mary Rhoads, 1819-1905","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1863,3,9,March,Spring,green
756,"Letter from Henry Cope to Francis Reeve Cope and Thomas Pim Cope, 1863 March 23",,1863-03-23,Philadelphia (Pa.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, Francis Reeve, 1821-1909|Addressee (rcp): Cope, Thomas Pim, 1823-1900","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1863,3,23,March,Spring,green
757,"1863 April 8, Aubury, to my family",About 1/6 of this letter has been torn off.,1863-04-08,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Clementine, 1835-1903","Addressee (rcp): Cope, Susan L. Newbold, 1805-1872","{'lat': 40.05055556, 'long': -75.1666666666667}",40.05055556,-75.1666666666667,1863,4,8,April,Spring,green
758,"1863 April 27, Linden St, to Anna",,1863-04-27,Philadelphia (Pa.),"Author (aut): Haines, Mary Rhoads, 1819-1905",,"{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1863,4,27,April,Spring,green
759,"1863 June 26, Linden St, to my dear Friend",,1863-06-26,Philadelphia (Pa.),"Author (aut): Haines, Mary Rhoads, 1819-1905",,"{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1863,6,26,June,Summer,yellow
760,"1863 June 29, Linden St, to Anna",,1863-06-29,Philadelphia (Pa.),"Author (aut): Haines, Mary Rhoads, 1819-1905",,"{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1863,6,29,June,Summer,yellow
761,"Letter from Brown Shipley & Co. to the Cope Brothers, 1863 July 3",,1863-07-03,Liverpool (England),"Author (aut): Brown, Shipley & Co.",Addressee (rcp): Cope Brothers,"{'lat': 53.41055556, 'long': -2.97777777777778}",53.41055556,-2.97777777777778,1863,7,3,July,Summer,yellow
762,"Letter from Brown Shipley & Co. to the Cope Brothers, 1863 July 4",,1863-07-04,Liverpool (England),"Author (aut): Brown, Shipley & Co.",Addressee (rcp): Cope Brothers,"{'lat': 53.41055556, 'long': -2.97777777777778}",53.41055556,-2.97777777777778,1863,7,4,July,Summer,yellow
764,"1863 July 9, Airdrie, to Father & Mother",,1863-07-09,Paoli (Pa.),"Author (aut): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Addressee (rcp): Cope, Francis Reeve, 1821-1909|Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916","{'lat': 40.04194444, 'long': -75.4761111111111}",40.04194444,-75.4761111111111,1863,7,9,July,Summer,yellow
765,"Letter from Religious Society of Friends to Abraham Lincoln and Edwin Stanton, 1863 July 23",,1863-07-23,Philadelphia (Pa.),"Author (aut): Evans, Thomas, 1798-1868|Author (aut): Greeves, James R., 1794-1870|Author (aut): Kite, Nathan|Author (aut): Evans, Charles, 1802-1879|Author (aut): Emlen, James Valentine, 1820-1880|Author (aut): Hilles, Samuel, 1788-1873","Addressee (rcp): Lincoln, Abraham, 1809-1865|Addressee (rcp): Stanton, Edwin M. (Edwin McMasters), 1814-1869","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1863,7,23,July,Summer,yellow
766,"1863 August 23, West Point, to Mother",,1863-08-18,West Point (N.Y.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916","{'lat': 41.39138889, 'long': -73.9558333333333}",41.39138889,-73.9558333333333,1863,8,18,August,Summer,yellow
767,"1863 August 22, Linden St, to my dear Anna",,1863-08-22,Philadelphia (Pa.),"Author (aut): Haines, Mary Rhoads, 1819-1905",,"{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1863,8,22,August,Summer,yellow
768,"Letter from Thomas Evans to Edwin Stanton, 1863 August 24",,1863-08-24,Mannington (N.J. : Township),"Author (aut): Evans, Thomas, 1798-1868","Addressee (rcp): Stanton, Edwin M. (Edwin McMasters), 1814-1869","{'lat': 39.61888889, 'long': -75.4202777777778}",39.61888889,-75.4202777777778,1863,8,24,August,Summer,yellow
769,"1863 August 29, West Point, to Mother",,1863-08-29,West Point (N.Y.),"Author (aut): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916","{'lat': 41.39138889, 'long': -73.9558333333333}",41.39138889,-73.9558333333333,1863,8,29,August,Summer,yellow
770,"1863 August 29, Westpoint, to Dear Wife",,1863-08-29,West Point (N.Y.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916","{'lat': 41.39138889, 'long': -73.9558333333333}",41.39138889,-73.9558333333333,1863,8,29,August,Summer,yellow
771,"1863 August 30, Catskill, to My dear Mother","The Mount Washington mentioned in the letter is likely not the Mount Washington located in New Hampshire, as it lies too far to be seen from the Catskills.",1863-08-30,Catskill (N.Y.),"Author (aut): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916","{'lat': 42.21722222, 'long': -73.8644444444445}",42.21722222,-73.8644444444445,1863,8,30,August,Summer,yellow
772,"1863 August 30, Catskill, to Hazen",,1863-08-30,Catskill (N.Y.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Francis Hazen, 1859-1909","{'lat': 42.21722222, 'long': -73.8644444444445}",42.21722222,-73.8644444444445,1863,8,30,August,Summer,yellow
773,"1863 August 30, Catskill, to Dear Anna",,1863-08-30,Catskill (N.Y.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916","{'lat': 42.21722222, 'long': -73.8644444444445}",42.21722222,-73.8644444444445,1863,8,30,August,Summer,yellow
774,"1863 September 2, Saratoga, to Dear Anna",,1863-09-02,Saratoga (N.Y.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916","{'lat': 43.10722222, 'long': -73.8638888888889}",43.10722222,-73.8638888888889,1863,9,2,September,Fall,orange
775,"1863 September 3, Awbury, to My dear Frank",,1863-09-03,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Anna Stewardson Brown, 1822-1916","Addressee (rcp): Cope, Francis Reeve, 1821-1909","{'lat': 40.05055556, 'long': -75.1666666666667}",40.05055556,-75.1666666666667,1863,9,3,September,Fall,orange
