Title,Description,Date Created,Genre,Precise Origin,Origin,Precise Destination,Destination,Geographic Subject,Author,Recipient,PID,Subjects (Name),Subjects (Topic),Shelf Locator,Local Identifier,Note,Item URL
"1872 August 6, Fall River, to Mama","Letter was begun at the Falls River (Mass.) railroad station, then finished and mailed in Boston.",1872-08-06,letters (correspondence),Rail Road Station,Fall River (Mass.),,,"Boston (Mass.)|New York (N.Y.)|Awbury (Philadelphia, Pa.)|Fall River (Mass.)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Anna Stewardson Brown, 1822-1916",hc:104388,"Brown, Mary|Emlen, Eleanor Cope, 1854-1920|Cope, Margaret, 1856-1948",Railroad travel,"HC.MC-1170, Box 3",hsc1142,,/object/hc104388
"1872 August 13, Mount Desert, to Father, Mother, brother, & little sisters","The letter's recipients include ""brother and little sisters"" though it is unclear which specific siblings are being referred to. The little sisters are most likely Anna B. Stork (nee Cope), b. 1862, and Caroline M. Lewis (nee Cope), 1865-1953. The brother referred to may be Alfred Cope, 1857-1897; Thomas P. Cope (Thomas Pim), 1852-1944; or Francis Hazen Cope, 1859-1909.",1872-08-13,letters (correspondence),,Mount Desert Island (Me.),,,Mount Desert Island (Me.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Francis Reeve, 1821-1909|Cope, Anna Stewardson Brown, 1822-1916",hc:104389,,,"HC.MC-1170, Box 3",hsc1143,,/object/hc104389
"1872 August 15, Mount Desert, to Mother","The Mary referred to may be Mary Brown, or Mary Stokes Cope.",1872-08-15,letters (correspondence),,Mount Desert Island (Me.),,,Mount Desert Island (Me.)|Narragansett (R.I.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Anna Stewardson Brown, 1822-1916",hc:104390,"Stokes, Francis, 1833-1917|Cope, Francis Hazen, 1859-1909|Evans, Rachel Reeve Cope, 1850-1939|Brown, Walter",,"HC.MC-1170, Box 3",hsc1144,,/object/hc104390
"1872 August 18, Mount Desert, to Parents",,1872-08-18,letters (correspondence),,[Mount Desert Island (Me.)],,,Bar Harbor (Me.)|Somesville (Me.)|Mount Desert Island (Me.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Francis Reeve, 1821-1909|Cope, Anna Stewardson Brown, 1822-1916",hc:104391,"Cope, Margaret, 1856-1948|Cope, Thomas Pim, 1823-1900|Cope, Francis Reeve, 1821-1909|Brown, Elizabeth H., b. 1840?|Cope, Alfred, 1857-1897|Scull, Edward, 1846-1884|Brown, Jeremiah, b. 1792?",,"HC.MC-1170, Box 3",hsc1145,,/object/hc104391
"1872 September 18, to My Dear Mother",,1872-09-18,letters (correspondence),,,,,,"Cope, Caroline E. (Caroline Elizabeth), 1840-1944","Cope, Susan L. Newbold, 1805-1872",hc:106331,"Walker, Sarah Miller, 1799-1874|Yarnall, Thomas|Newbold, Frank W., b. 1845|Cope, Alexis T. (Alexis Thomas), 1850-1883|Cope, Francis Reeve, 1821-1909|Cope, Alfred, 1857-1897|Haines, Francis Cope, 1857-1918|Cope, Thomas Pim, 1823-1900|Cope, Elizabeth Waln Stokes, 1823-1902|Cope, William D. (William Drinker), 1798-1873|Cope, Clementine, 1835-1903|Stokes, Hetty N. (Hetty Newlin), 1838-1899|Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937|Cope, Anna Stewardson Brown, 1822-1916|Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881|Cope, Annette, 1843-1916",Funeral service--Society of Friends|Funeral rites and ceremonies|Death|Death notices|Hymns|Cancer|Family,"HC.MC-1170, Box 3",hsc1444,,/object/hc106331
"1872 September 23, Connymeade, to Dear Alexis",,1872-09-23,letters (correspondence),Connymeade,"Overbrook (Philadelphia, Pa.)",,,"Haverford (Pa. : Township)|Catskill (N.Y.)|New Jersey|Woodbourne (Susquehanna County, Pa.)","Cope, Caroline E. (Caroline Elizabeth), 1840-1944","Cope, Alexis T. (Alexis Thomas), 1850-1883",hc:106332,"Cope, Susan L. Newbold, 1805-1872|Cope, William D. (William Drinker), 1798-1873|Cope, Arthur, 1859-1881|Cope, Clementine, 1835-1903|Stokes, Hetty N. (Hetty Newlin), 1838-1899|Newbold, Frank W., b. 1845|Cope, Annette, 1843-1916|Cope, Henry, 1850-1924|Cope, Francis Reeve, 1821-1909|Cope, Mary Stokes, 1853-1888|Cope, Amy Elizabeth Yarnall|Cope, Eleanor, 1847-1860|Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881|Evans, Rachel Reeve Cope, 1850-1939|Evans, Jonathan, 1843-1911|Cope, Edgar, 1838-1895|Vanuxem, E.C.|corporate_body:Haverford College",Reading|Housekeeping|Vacations|Apples|Driving of horse-drawn vehicles|Weather|Nature|Health,"HC.MC-1170, Box 3",hsc1445,,/object/hc106332
"1872 October 10, Awbury, to Father & Mother",,1872-10-20,letters (correspondence),,"Awbury (Philadelphia, Pa.)",,,"Germantown (Philadelphia, Pa.)|Haverford (Pa. : Township)|Awbury (Philadelphia, Pa.)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Francis Reeve, 1821-1909|Cope, Anna Stewardson Brown, 1822-1916",hc:104393,"Evans, Rachel Reeve Cope, 1850-1939|Evans, Jonathan, 1843-1911|Cope, Mary Stokes, 1853-1888|Cope, Mary Louise Saunders|Cope, Caroline E. (Caroline Elizabeth), 1840-1944|Drinker, Fanny (Frances M.), 1811?-1879|Cope, Thomas Pim, 1823-1900|Cope, Margaret, 1856-1948|Cope, Thomas P. (Thomas Pim), 1852-1944|Brown, Jeremiah, b. 1792?",Family,"HC.MC-1170, Box 3",hsc1147,,/object/hc104393
"1872 October 22, Awbury, to Parents",,1872-10-22,letters (correspondence),,"Awbury (Philadelphia, Pa.)",,,"Maryland|Awbury (Philadelphia, Pa.)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Francis Reeve, 1821-1909|Cope, Anna Stewardson Brown, 1822-1916",hc:104394,"Evans, Rachel Reeve Cope, 1850-1939|Evans, Jonathan, 1843-1911|Cope, Anna Stewardson Brown, 1822-1916|Pyle, Hannah Cadbury, 1872-1952|Cope, Thomas P. (Thomas Pim), 1852-1944|Cope, John Stokes, 1857-1915|Cope, Francis Hazen, 1859-1909|Stork, Anna Brown Cope, b. 1862|Lewis, Caroline Mary Cope, 1865-1953|Cope, Mary Stokes, 1853-1888",Birth announcements,"HC.MC-1170, Box 3",hsc1148,,/object/hc104394
"1872 October 27, Awbury, to Mamma","Minnie Aertsen is most likely Mary Aertsen, though it is unclear which one, as at least three individuals with that name lived in Germantown at that time.
 
 Letter also mentions attending the marriage of Anna Biddle a few days earlier.",1872-10-27,letters (correspondence),,"Awbury (Philadelphia, Pa.)",,,"New York (N.Y.)|Awbury (Philadelphia, Pa.)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",,hc:104395,"Evans, Jonathan, 1843-1911|Evans, Rachel Reeve Cope, 1850-1939|Cope, Mary Stokes, 1853-1888|Brown, Elizabeth H., b. 1840?|Hartshorne, Virginia|Brown, Susanna Sansom, 1826-1909|Evans, Hannah Bacon, 1839-1939|Hartshorne, Joseph, 1852-1918|Haines, Mary D. (Mary Drinker Cope), 1819-1890|Cope, Thomas Pim, 1823-1900|Cope, Thomas P. (Thomas Pim), 1852-1944",Weather,"HC.MC-1170, Box 3",hsc1149,,/object/hc104395
"1872 November 27, Awbury, to My Dearest",Expressed condolences on the death of Susan Newbold Cope.,1872-11-27,letters (correspondence),,"Awbury (Philadelphia, Pa.)",,,"Minneapolis (Minn.)|Awbury (Philadelphia, Pa.)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Alexis T. (Alexis Thomas), 1850-1883",hc:104396,"Cope, Susan L. Newbold, 1805-1872",Love-letters,"HC.MC-1170, Box 3",hsc1150,,/object/hc104396
"1872?, Lake Mohonk, to Father & Mother",Exact year and date of letter not given and is not clearly discernible from the information in the letter.,1872?,letters (correspondence),,Mohonk Lake (N.Y.),,,Mohonk Lake (N.Y.)|Overlook (N.Y.)|Kingston (N.Y.)|Skytop (Pa.)|Ausable River (N.Y.)|Catskill Mountains (N.Y.)|White Mountains (N.H. and Me.)|Green Mountains (Vt.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Francis Reeve, 1821-1909|Cope, Anna Stewardson Brown, 1822-1916",hc:104392,"Cope, Thomas Pim, 1823-1900|Cope, Margaret, 1856-1948|Evans, Rachel Reeve Cope, 1850-1939|Emlen, Eleanor Cope, 1854-1920|Yarnall, Margaret|Haines, Reuben, 1851-1920|Cope, Mary Stokes, 1853-1888|Smiley, Albert K. (Albert Keith), 1828-1912",New York (State)--Description and travel,"HC.MC-1170, Box 3",hsc1146,,/object/hc104392
"1873 February 4, On the cars, to Cousins","Edward addresses the letter to ""My dear Cousins"" later making mention of Edgar Cope in particular as someone to whom the letter should be forwarded.

Edward offers religious advise to his cousins, using Bible quotations to address the issues of love for God, love for family, and daily grief and suffering.",1873-02-04,letters (correspondence),On the Cars,,"Overbrook Station, Pennsylvania Central Railroad","Overbrook (Philadelphia, Pa.)",,"Cope, E. D. (Edward Drinker), 1840-1897","Cope, Edgar, 1838-1895",hc:95200,,Bible. New Testament|God|Grief|Love|Suffering,"HC.MC-1170, Box 3",hsc0377,,/object/hc95200
"1873 February 12, Haddonfield, to Cousin","Edward writes to an unnamed cousin, advising that prayer unwavering faith in Jesus Christ will alleviate daily grief and assure passage to heaven.",1873-02-12,letters (correspondence),,Haddonfield (N.J.),,,Haddonfield (N.J.),"Cope, E. D. (Edward Drinker), 1840-1897",,hc:95201,"Cope, Alexis T. (Alexis Thomas), 1850-1883|Cope, E. D. (Edward Drinker), 1840-1897",Bible. New Testament|Faith|God|Grief|Prayer,"HC.MC-1170, Box 3",hsc0378,,/object/hc95201
"1873 February 12, Haddonfield, to My dear Cousin",,1873-02-12,letters (correspondence),,Haddonfield (N.J.),,,Haddonfield (N.J.),"Cope, E. D. (Edward Drinker), 1840-1897",,hc:106292,"Cope, Alexis T. (Alexis Thomas), 1850-1883",Bible--Study and teaching|Bible--Quotations|Faith,"HC.MC-1170, Box 3",hsc1404,,/object/hc106292
"1873 February 26, Washington, D.C., to Mama",,1873-02-26,letters (correspondence),The Arlington,Washington (D.C.),,Philadelphia (Pa.),Washington (D.C.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Anna Stewardson Brown, 1822-1916",hc:104397,"Randolph, Richard, 1822-1905|Ames, Oakes, 1804-1873",Hotels,"HC.MC-1170, Box 3",hsc1151,,/object/hc104397
"1873 June 25, Connymead, to Cousin Anna",,1873-06-25,letters (correspondence),Connymeade,"Overbrook (Philadelphia, Pa.)",,,Washington (D.C.),"Cope, Clementine, 1835-1903","Cope, Anna Stewardson Brown, 1822-1916",hc:104361,"Evans, Rachel Reeve Cope, 1850-1939|Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937|Cope, Francis Reeve, 1821-1909",Gossip,"HC.MC-1170, Box 3",hsc1115,,/object/hc104361
"1873 July 22, Awbury, to dearest sister, Liverpool","Accompanying envelope contains note written at a later date by Elizabeth S. Cope.
 
 Letter and note on envelope mention an accompanying note by Alexis Cope which appears to have been lost since then.",1873-07-22,letters (correspondence),,"Awbury (Philadelphia, Pa.)",,Liverpool (England),"Europe|Mount Desert Island (Me.)|Chester (England)|Brighton (England)|Catskill Mountains (N.Y.)|Liverpool (England)|Awbury (Philadelphia, Pa.)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Evans, Rachel Reeve Cope, 1850-1939",hc:104398,"Cope, Francis Reeve, 1821-1909|Cope, Alfred, 1857-1897|Cope, Alexis T. (Alexis Thomas), 1850-1883|Stork, Anna Brown Cope, b. 1862|Cope, Caroline E. (Caroline Elizabeth), 1840-1944|Evans, Jonathan, 1843-1911|Cope, Anna Stewardson Brown, 1822-1916|Shillitoe, Thomas, 1754-1836|Haines, Mary D. (Mary Drinker Cope), 1819-1890|Cope, Clementine, 1835-1903|Lewis, Caroline Mary Cope, 1865-1953|Brown, Susanna Sansom, 1826-1909|Cope, Thomas P. (Thomas Pim), 1852-1944|Haines, Reuben, 1851-1920|Brown, Jeremiah, b. 1792?",Betrothal,"HC.MC-1170, Box 3",hsc1152,,/object/hc104398
"1873 August 1, Awbury, to brother & sister",,1873-08-01,letters (correspondence),,"Awbury (Philadelphia, Pa.)",,,"Chester (England)|Isle of Wight (England)|Wales|Liverpool (England)|London (England)|Germantown (Philadelphia, Pa.)|Mount Desert Island (Me.)|Catskill (N.Y.)|New York (N.Y.)|Awbury (Philadelphia, Pa.)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Evans, Jonathan, 1843-1911|Evans, Rachel Reeve Cope, 1850-1939",hc:104399,"Cope, Thomas P. (Thomas Pim), 1852-1944|Brown, Elizabeth H., b. 1840?|Haines, Mary D. (Mary Drinker Cope), 1819-1890|Cope, Alexis T. (Alexis Thomas), 1850-1883|Cope, Anna Stewardson Brown, 1822-1916|Hartshorne, Virginia|Evans, John Wistar, 1836-1873|Brown, Ellis Yarnall, 1851-1925|Smith, Daniel B., 1792-1883|Cope, Alfred, 1806-1875|Cope, Caroline E. (Caroline Elizabeth), 1840-1944|Emlen, Eleanor Cope, 1854-1920|Cope, Margaret, 1856-1948|Cope, Francis Reeve, 1821-1909|Cope, Clementine, 1835-1903|Gregor, Catharine M.|Brown, Mary Farnum (""Mame"")|Brown, Jeremiah, b. 1792?",Letter writing,"HC.MC-1170, Box 3",hsc1153,,/object/hc104399
"1873 August 9, Mt. Desert, to Mother, Philadelphia",Accompanying envelope contains note written at a later date by Elizabeth S. Cope.,1873-08-09,letters (correspondence),,Mount Desert Island (Me.),,Philadelphia (Pa.),"Great Head (Me.)|Mount Desert Island (Me.)|Bar Harbor (Me.)|Awbury (Philadelphia, Pa.)|Philadelphia (Pa.)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Anna Stewardson Brown, 1822-1916",hc:104400,"Cope, Francis Reeve, 1821-1909|Cope, Margaret, 1856-1948|Stokes, Francis, 1833-1917|Cope, Alfred, 1857-1897|Cope, Clementine, 1835-1903|Haines, Mary D. (Mary Drinker Cope), 1819-1890|Brown, Jeremiah, b. 1792?",,"HC.MC-1170, Box 3",hsc1154,,/object/hc104400
"1873 August 17, Bar Harbor, to Mother",,1873-08-17,letters (correspondence),,Bar Harbor (Me.),,,Bar Harbor (Me.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Anna Stewardson Brown, 1822-1916",hc:104401,"Cope, Francis Reeve, 1821-1909|Newman, John Henry, 1801-1890|Cope, Thomas P. (Thomas Pim), 1852-1944|Harrison, Smith, 1818-1883|Yarnall, Ellis H., 1817-1905|Cope, Margaret, 1856-1948|Cope, Alexis T. (Alexis Thomas), 1850-1883",Weather,"HC.MC-1170, Box 3",hsc1155,,/object/hc104401
"1873 October 7, Haverford, to Sister, London","Letter begun on October 7th, completed on October 8th.",1873-10-07,letters (correspondence),,Haverford (Pa. : Township),,London (England),"Mount Desert Island (Me.)|England|Upper Lehigh (Pa.)|Geneva (Switzerland)|Adirondack Mountains (N.Y.)|Overbrook (Philadelphia, Pa.)|Awbury (Philadelphia, Pa.)|Haverford (Pa. : Township)|London (England)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Evans, Rachel Reeve Cope, 1850-1939",hc:104402,"Cope, Francis Reeve, 1821-1909|Cope, Alexis T. (Alexis Thomas), 1850-1883|Cope, Anna Stewardson Brown, 1822-1916|Scull, Edward, 1846-1884|Brown, Mary|Cope, Alfred, 1857-1897|Cope, Caroline E. (Caroline Elizabeth), 1840-1944|Cope, Annette, 1843-1916|Hartshorne, Virginia|Brown, Susanna Sansom, 1826-1909|Stork, Anna Brown Cope, b. 1862|Cope, Francis Hazen, 1859-1909|Haines, Mary D. (Mary Drinker Cope), 1819-1890|Brown, Ellis Yarnall, 1851-1925|Cope, Edgar, 1838-1895|Cope, Amy Elizabeth Yarnall|Alderson, Eleanor Tyson Yarnall|Alderson, William Charles, 1837-1914|Simpson, Joseph, 1835-1901|Simpson, Agnes, 1839-1925|Lewis, Caroline Mary Cope, 1865-1953|Brown, Jeremiah, b. 1792?|Macdonell, Annie Harrison, 1841-1930",Letter writing,"HC.MC-1170, Box 3",hsc1156,,/object/hc104402
"1873 October 10, Awbury, to Mama, Upper Lehigh",The Jacob Jones mentioned may be Jacob P. Jones (1805-1885).,1873-10-10,letters (correspondence),,"Awbury (Philadelphia, Pa.)",Upper Lehigh,Luzerne County (Pa.),"Europe|London (England)|Indiana|Awbury (Philadelphia, Pa.)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Anna Stewardson Brown, 1822-1916",hc:104403,"Cope, Thomas P. (Thomas Pim), 1852-1944|Evans, Rachel Reeve Cope, 1850-1939|Evans, Jonathan, 1843-1911|Haines, Mary D. (Mary Drinker Cope), 1819-1890|Cope, Caroline E. (Caroline Elizabeth), 1840-1944|Cope, Annette, 1843-1916|Cope, Clementine, 1835-1903|Cope, Francis Hazen, 1859-1909|Brown, David Sands, 1827-1914|Hartshorne, Charles, 1829-1908|Ware, Anne, b. 1820?",Family,"HC.MC-1170, Box 3",hsc1157,,/object/hc104403
"1873 October 17, Awbury, to My dear brother",,1873-10-17,letters (correspondence),,"Awbury (Philadelphia, Pa.)",Upper Lehigh,Luzerne County (Pa.),"Upper Lehigh (Pa.)|Adirondack Mountains (N.Y.)|Haverford (Pa. : Township)|Awbury (Philadelphia, Pa.)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Thomas P. (Thomas Pim), 1852-1944",hc:104404,"Cope, Francis Reeve, 1821-1909|Cope, Alexis T. (Alexis Thomas), 1850-1883|Yarnall, Ellis H., 1817-1905|Simpson, Joseph, 1835-1901|Yarnall, Margaret|Simpson, Sallie|Simpson, Hannah|Cope, Edgar, 1838-1895|Ward, George|Brown, Elizabeth H., b. 1840?|Brown, Susanna Sansom, 1826-1909|Cope, Alfred, 1806-1875|Cope, Caroline E. (Caroline Elizabeth), 1840-1944|Cope, Anna Stewardson Brown, 1822-1916|Stork, Anna Brown Cope, b. 1862|Cope, Clementine, 1835-1903|Brown, Jeremiah, b. 1792?",Dogs,"HC.MC-1170, Box 3",hsc1158,,/object/hc104404
"1874 January 2, Connymead, to My dear Cousin, Awbury",,1874-01-02,letters (correspondence),Connymeade,"Overbrook (Philadelphia, Pa.)",,"Awbury (Philadelphia, Pa.)","Awbury (Philadelphia, Pa.)","Cope, Clementine, 1835-1903","Cope, Anna Stewardson Brown, 1822-1916",hc:104362,"Cope, Edgar, 1838-1895",Thank-you notes,"HC.MC-1170, Box 3",hsc1116,,/object/hc104362
"1874 January 11, Connymeade, to My dear Cousin Sarah",,1874-01-11,letters (correspondence),Connymeade,"Overbrook (Philadelphia, Pa.)",,,"Baltimore (Md.)|Germantown (Philadelphia, Pa.)|Woodbourne (Susquehanna County, Pa.)|Awbury (Philadelphia, Pa.)","Cope, Caroline E. (Caroline Elizabeth), 1840-1944","Walker, Sarah Miller, 1799-1874",hc:106333,"Cope, Clementine, 1835-1903|Cope, Annette, 1843-1916|Vanuxem, E.C.|Morris, Mary|Miller, Thomasina T.|Cope, Amy Elizabeth Yarnall|Cope, Francis Reeve, 1821-1909|Cope, Anna Stewardson Brown, 1822-1916|Corale, William|Corale, Isaac|Beezles, Margy|Cheston, Margaret Carey, d. 1874|Cope, Mary Stokes, 1853-1888|Evans, John Wistar, 1836-1873|Evans, Eleanor Tyson Stokes, 1840-1919|Stokes, Hetty N. (Hetty Newlin), 1838-1899|Stokes, Joseph Waln, 1838-1899|Evans, Rachel Reeve Cope, 1850-1939|Evans, Jonathan, 1843-1911|Bettle, Mary, 1833-1912|Logan, Mary|Cope, Thomas Pim, 1823-1900|Cope, Edgar, 1838-1895|Cope, Alexis T. (Alexis Thomas), 1850-1883|Cope, Ruthanna, 1834-1879","Vision|Libraries|Reading|Death|Burns and scalds|Diseases|Moving, Household","HC.MC-1170, Box 3",hsc1446,,/object/hc106333
"1874 May 29, Atlantic City, to Sister mine, Germantown",,1874-05-29,letters (correspondence),,Atlantic City (N.J.),Church Lane,"Germantown (Philadelphia, Pa.)","Atlantic City (N.J.)|Germantown (Philadelphia, Pa.)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Evans, Rachel Reeve Cope, 1850-1939",hc:104405,"Evans, Jonathan, 1759-1839|Conard, Samuel, 1830?-1894|Yarnall, Amos, 1809?-1873|Yarnall, Mildred",Hotels,"HC.MC-1170, Box 3",hsc1159,,/object/hc104405
"1874 July 18, White Sulphur Springs, to Mother",,1874-07-18,letters (correspondence),Paradise Row,White Sulphur Springs (W. Va.),,,"Allegheny (Pa.)|Japan|Fairmount Park (Philadelphia, Pa.)|Awbury (Philadelphia, Pa.)|White Sulphur Springs (W. Va.)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Anna Stewardson Brown, 1822-1916",hc:104406,"Cope, Alexis T. (Alexis Thomas), 1850-1883|Cope, Alfred, 1857-1897|Cope, Francis Hazen, 1859-1909|Garrett, Hannah Rhoads Haines, 1846-1901|Brown, Jeremiah, b. 1792?",Voyages and travels,"HC.MC-1170, Box 3",hsc1160,,/object/hc104406
"1874 August 5, Chalybeate Springs, to little Ann, Philadelphia","Second half of the letter was written by Alexis Cope, to whom Elizabeth Cope dictated.",1874-08-05,letters (correspondence),,Sweet Chalybeate Springs (Va.),,Philadelphia (Pa.),Sweet Chalybeate Springs (Va.)|Philadelphia (Pa.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Stork, Anna Brown Cope, b. 1862",hc:104407,"Lewis, Caroline Mary Cope, 1865-1953|Evans, Jonathan, 1843-1911|Evans, Rachel Reeve Cope, 1850-1939|Cope, Alexis T. (Alexis Thomas), 1850-1883|Cope, Francis Hazen, 1859-1909",Virginia--Description and travel,"HC.MC-1170, Box 3",hsc1161,,/object/hc104407
"1875 May 28, Lechauweki Springs, to dear ones at home, Philadelphia",,1875-05-28,letters (correspondence),Lechauweki Springs,Fountain Hill (Pa.),,[Philadelphia (Pa.)],Lechauweki Springs (Pa.)|Philadelphia (Pa.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",,hc:104408,"Cope, Thomas P. (Thomas Pim), 1852-1944|Cope, Alexis T. (Alexis Thomas), 1850-1883|Cope, Alban, 1864-1914|Cope, John Stokes, 1857-1915",Weddings,"HC.MC-1170, Box 3",hsc1162,,/object/hc104408
"1875 May 29, Lechauweki Springs, to Sisters",,1875-05-29,letters (correspondence),Lechauweki Springs,Fountain Hill (Pa.),,,"Awbury (Philadelphia, Pa.)|Lechauweki Springs (Pa.)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Stork, Anna Brown Cope, b. 1862|Lewis, Caroline Mary Cope, 1865-1953",hc:104409,"Cope, Alexis T. (Alexis Thomas), 1850-1883",Honeymoons,"HC.MC-1170, Box 3",hsc1163,,/object/hc104409
"1875 September, to R Haines",,1875-09-01,letters (correspondence),,,,,"Philadelphia (Pa.)|Burlington (Vt.)|New York (State)|Jersey City (N.J.)|Albany (N.Y.)|Underhill (Vt.)|Mansfield, Mount (Vt.)|Smugglers Notch (Vt.)|Richmond (Vt.)|Mt. Willard (N.H.)|Lancaster (Pa.)|Washington, Mount (N.H.)|Plymouth (N.H.)|New London (Conn.)","Cope, Caroline E. (Caroline Elizabeth), 1840-1944","Haines, Reuben, 1851-1920",hc:106334,,Cost|Voyages and travels|Hotels|Stagecoaches|Horses|Dinners and dining|Photographs,"HC.MC-1170, Box 3",hsc1447,,/object/hc106334
"1876 January 25, Connymead, to My dear Alexis & Lily",,1876-01-25,letters (correspondence),Connymeade,"Overbrook (Philadelphia, Pa.)",,,Naples (Italy)|Algiers (Algeria)|Menton (France),"Cope, Clementine, 1835-1903","Cope, Alexis T. (Alexis Thomas), 1850-1883|Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",hc:104363,"Yarnall, Francis Cope, 1830-1890|Cope, Caroline E. (Caroline Elizabeth), 1840-1944|Cope, Francis Reeve, 1821-1909|Cope, Alfred, 1806-1875|Morris, Samuel, 1827-1905|Cope, Henry, 1850-1924|Hartshorne, Charles, 1829-1908",Gossip,"HC.MC-1170, Box 3",hsc1117,,/object/hc104363
"1876 April 4, Connymead, to Alexis & Lily, Rome",,1876-04-12,letters (correspondence),Connymeade,"Overbrook (Philadelphia, Pa.)",,[Rome (Italy)],"Rome (Italy)|Germantown (Philadelphia, Pa.)|Awbury (Philadelphia, Pa.)|Italy","Cope, Clementine, 1835-1903","Cope, Alexis T. (Alexis Thomas), 1850-1883|Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",hc:104364,"Garrett, Elizabeth Waln Cope, 1841-1931|Evans, Rachel Reeve Cope, 1850-1939|Cope, Francis Reeve, 1821-1909|Cope, Anna Stewardson Brown, 1822-1916|Cope, Thomas Pim, 1823-1900|Cope, Caroline E. (Caroline Elizabeth), 1840-1944|Cope, Annette, 1843-1916",Family,"HC.MC-1170, Box 3",hsc1118,,/object/hc104364
"1876 May 6, Geneva, to Lillie & Alexis",,1876-05-06,letters (correspondence),Hôtel de l'Ecu de Geneve,Geneva (Switzerland),,,Milan (Italy)|Venice (Italy)|Paris (France)|Geneva (Switzerland),"Cope, Alfred, 1857-1897","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937|Cope, Alexis T. (Alexis Thomas), 1850-1883",hc:104290,"Cope, Anna Stewardson Brown, 1822-1916",Italy--Description and travel,"HC.MC-1170, Box 3",hsc1040,,/object/hc104290
"1876 October 10, Steamer Josephine Missouri River near Ft Peck MT, to Esteemed Friend","Handwritten note ""Original given to Academy of Natural Sciences of Phila Nov. 1989""",1876-10-10,letters (correspondence),"Steamer Josephine, Missouri River",Fort Peck (Mont.),,,Montana|Missouri River|Fort Benton (Mont.)|Judith River (Mont.)|Camp Cooke (Mont.),"Cope, E. D. (Edward Drinker), 1840-1897",,hc:106293,,Voyages and travels|Collectors and collecting|Fossils|Dinosaurs|Indians of North America|Animals,"HC.MC-1170, Box 3",hsc1405,Photocopy of original letter,/object/hc106293
"1876 December 17, Adams St Germantown, to Dear Sister Anna",includes a NB later written by Elizabeth Stewardson Cope on 8/1/1930.,1876-12-17,letters (correspondence),Adams St,"Germantown (Philadelphia, Pa.)",,"Awbury (Philadelphia, Pa.)","Germantown (Philadelphia, Pa.)","Cope, Elizabeth Waln Stokes, 1823-1902|Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Anna Stewardson Brown, 1822-1916",hc:106309,"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937|Cope, Alexis T. (Alexis Thomas), 1850-1883|Cope, Agnes, 1876-1899|Evans, Rachel Reeve Cope, 1850-1939|Cope, Elizabeth Waln Stokes, 1823-1902",Childbirth,"HC.MC-1170, Box 3",hsc1422,,/object/hc106309
"1877 May 29, Connymead, to Sisters",,1877-05-29,letters (correspondence),Connymeade,"Overbrook (Philadelphia, Pa.)",,,"Haddonfield (N.J.)|Europe|New Jersey|Germantown (Philadelphia, Pa.)","Cope, Clementine, 1835-1903","Cope, Annette, 1843-1916|Cope, Caroline E. (Caroline Elizabeth), 1840-1944",hc:104426,"Alderson, Margaret|Cope, Edgar, 1838-1895|Cope, Alexis T. (Alexis Thomas), 1850-1883",Voyages and travels,"HC.MC-1170, Box 3",hsc1181,,/object/hc104426
