,Title,Description,Date Created,Origin,Author,Recipient,Year,Month,Day
327,"1839 June 10, Philadelphia, to sister Anna, Salem",,1839-06-10,Philadelphia (Pa.),"Author (aut): Hartshorne, Mary Elizabeth Brown, b. 1823","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1839,6,10
328,"1839 June 17, Philadelphia, to Dear Brother","Letter has been recopied, original not present.",1839-06-17,Philadelphia (Pa.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, Alfred, 1806-1875",1839,6,17
329,"Letter from Henry Cope, Philadelphia, Pennsylvania, to Brother, 17 June 1839",,1839-06-17,Philadelphia (Pa.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, Alfred, 1857-1897",1839,6,17
330,"1839 June 23, Worcester (Mass.), to Dear Brother",,1839-06-23,Worcester (Mass.),"Author (aut): Cope, Alfred, 1806-1875","Addressee (rcp): Cope, Henry, 1793-1865",1839,6,23
331,"1839 July 22, Woodbourne, to Dear Brother, Philadelphia",,1839-07-22,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1839,7,22
332,"1839 August 31, Woodbourne, to Dear Brother, Philadelphia",Contains postscript by Susan Newbold Cope.,1839-08-31,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873|Author (aut): Cope, Susan L. Newbold, 1805-1872","Addressee (rcp): Cope, Alfred, 1806-1875",1839,8,31
333,"1839 October 11, Woodbourne, to Alfred Cope, Philadelphia",,1839-10-11,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, Susan L. Newbold, 1805-1872|Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1839,10,11
334,"1839 January 10, West Haverford, to Anna S. Brown, Philadelphia","Letter is written in three different hands .

Notes probably written later :
""1.10.1839 –
Uncle Tom & Uncle Will write to Mother from Haverford. Elizabeth Davis daughter of Isaac "" the Superintendant, afterward because Eliz. Farnum, also writes & tell how the little boys are getting on.""",1839-11-10,Haverford (Pa. : Township),"Author (aut): Brown, Thomas S., b. 1828|Author (aut): Brown, William A., b. 1824|Author (aut): Farnum, Elizabeth H., 1814-1898?","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1839,11,10
335,"1839 November 29, Woodbourne, to Dear Brother, Philadelphia",Contains postscript from Susan Newbold Cope to Hannah Edge Cope.,1839-11-29,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873|Author (aut): Cope, Susan L. Newbold, 1805-1872","Addressee (rcp): Cope, Alfred, 1806-1875",1839,11,29
336,"1840, March 14, Paris, to Rachel R. Cope, Philadelphia","Although the text of the letter indicates the letter was written in Paris, the postal information lists the sending address as Poland .
Notes penciled in another hand read: ""3/14/1840 Sarah B. Corbit to her Cousin Rachel Cope. Supposedly mother of Caroline Perot & Emma Ogden.""",1840-03-14,Paris (France),"Author (aut): Corbit, Sarah B.","Addressee (rcp): Cope, Rachel Reeve, 1794-1863",1840,3,14
337,"1840 March 18, Woodbourne, to Dear Brother, Philadelphia",,1840-03-18,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Alfred, 1806-1875",1840,3,18
338,"1840 April 6, Philadelphia (Pa.), Woodbourne (Pa.)",Contains Lists of Apple grafts on Woodbourne Farm from England and apple grafts from New Jersey,1840-04-06,Philadelphia (Pa.),"Author (aut): Cope, Alfred, 1806-1875","Addressee (rcp): Cope, William D. (William Drinker), 1798-1873",1840,4,6
339,"1840 June 2, Woodbourne, to Dear Brother, Philadelphia",,1840-06-02,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Alfred, 1806-1875",1840,6,2
340,"1840 June 14, Woodbourne, to My dear sister R, Philadelphia",,1840-06-14,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, Susan L. Newbold, 1805-1872|Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Rachel Reeve, 1794-1863|Addressee (rcp): Cope, Henry, 1793-1865",1840,6,14
341,"1840 July 6, Philadelphia, to Dear Father",Letter is typed and numbered (9 & 10). Handwritten copy not present.,1840-07-06,Philadelphia (Pa.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1840,7,6
342,"1840 July 31, Philadelphia, to Anna, near Germantown","Account of visits by Joseph John Gurney, his departure from America.
 RAMIES watermark, profile of Benjamin Franklin emossing.",1840-07-31,Philadelphia (Pa.),"Author (aut): Vaux, Hannah Sansom","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1840,7,31
343,"Letter from Thomas Cope, Newport (R. I.), to Alfred Cope, 8 August 1840",,1840-08-08,Newport (R.I.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, Alfred, 1857-1897",1840,8,8
344,"1840 August 14, Newport, to Alfred Cope, Philadelphia",,1840-08-14,Newport (R.I.),"Author (aut): Tyson, Eleanor Cope, 1807-1847","Addressee (rcp): Cope, Alfred, 1806-1875",1840,8,14
345,"1840 August 25, Newport, to Alfred","Written on August 25 & 26, 1840.",1840-08-25,Newport (R.I.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Cope, Alfred, 1806-1875|Addressee (rcp): Cope, Henry, 1793-1865",1840,8,25
346,"1840 August 31, Philadelphia, to Dear Father",Letter is typed and numbered (11 & 12). Handwritten copy not present.,1840-08-31,Philadelphia (Pa.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1840,8,31
347,"Letter from Henry Cope, Philadelphia, Pennsylvania, to Father, 1840 September 9",,1840-09-08,Philadelphia (Pa.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1840,9,8
348,"1840 September 19, Woodbourne, to Dear Brother, Philadelphia",Contains postscript written by Susan Newbold Cope.,1840-09-19,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873|Author (aut): Cope, Susan L. Newbold, 1805-1872","Addressee (rcp): Cope, Alfred, 1806-1875",1840,9,19
349,"1840 September 29, Philada, to Alfred, London Grove, Chester Co., Pa.",,1840-09-29,Philadelphia (Pa.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, Alfred, 1806-1875",1840,9,29
350,"1840 October 19, Stockport, to Henry Cope, my dear Friend",,1840-10-19,Stockport (England),"Author (aut): Jones, Ann","Addressee (rcp): Cope, Henry, 1793-1865",1840,10,19
351,"1840 November 7, Woodbourne, to Dear Brother, Philadelphia",,1840-11-07,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Alfred, 1806-1875",1840,11,7
352,"Letter from Thomas Pim Cope and Isaac Cotton to Nathan Dunn, 1840 December 28",,1840-12-28,,"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854|Author (aut): Cotton, Isaac","Addressee (rcp): Dunn, Nathan, 1782-1844",1840,12,28
353,"1841 February 15, Woodbourne, to Dear Brother, Philadelphia",,1841-02-15,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Alfred, 1806-1875",1841,2,15
354,"1841 February 28, New Bedford, to Frank, Philada.","The stationer's imprint on the front page of the letter, upper left corner, is an upright rectangle with cropped corners, and the word BATH written inside .

A bobwig is a wig in which the bottom locks are cropped to make short rather than full curls. (Oxford English Dictionary)

St. Crispin is the patron saint of shoemakers .

The line ""Othello's occupation gone"" comes from Act III, scene iii of the play. In this scene Othello is lamenting that he will no longer be a soldier .

Listed in pencil on the back: Creighton & Wilson R Ashurst J Brown J W Bates W Brown Bray Bancroft J Barton P Brady E Carr G & Evans L. Duy. G B & J B Engl--- Thos Evans Huskel Herkins Hendrickson C W H Love - Mellon Patter O Reeve Ralston T Sharpless J & D Samuel ---- & Wallace A Plade H Winkley -------- Shread Shaw",1841-02-28,New Bedford (Mass.),"Author (aut): Taber, Charles, 1822-1887","Addressee (rcp): Cope, Francis Reeve, 1821-1909",1841,2,28
355,"1841 April, to Frank, Philada.","Throughout the letter the author quotes liberally from other writers and sources. A partial list of identifications follows .
""greatness sympathises with greatness"": essayist William Hazlitt, ""The Indian Judges""
""you can't get a barrel of praties into a bushel basket"": aphorism, origin unknown
""some are born to greatness, some achieve greatness, and some have greatness thrust upon them"": William Shakespeare, Twelfth Night
""Tantaene animis coelestibus irae?"" In heavenly minds can such resentments dwell?: Virgil, The Aeneid
""Memory is mortal forgiveness divine"" this is perhaps a restatement of ""To err is human, to forgive divine"": Alexander Pope, ""Essay on Criticism""
The Biblical admonition to ""turn the other cheek"" may be found in Matthew 5:38-40 .
""cold obstruction"" in reference to death: William Shakespeare, Measure for Measure
""Wellerism"" ""a form of comparison in which a familiar saying or proverb is identified with what was said by someone in a specified but humorously inapposite situation"" : from characters in Charles Dickens, Pickwick Papers (definition from Oxford English Dictionary)
""No man is a hero to his valet-de-chambre"": Marshal Catinat or Madame de Corneul

The watermark is as follows :
J Whitman
Turkey Mill
1839

On the last page of the letter, the following text is written in pencil, in another hand, probably that of E.S.C.: 2 letters of Chas. Tabor to Francis R. Cope - 1841 (F.R.C. aged 20 - C.T. about same age - ) C.T. had published in ""L'Entreprise"", a seranade written by F.R.C. When advised of the theft F.R.C. sends another poem entitled the ""Thief.""

For a description of many of the geographic locations mentioned in the letter, see Newport and How to See It (Newport: Davis & Pitman, 1869) .

A ""fippenny bit"" is a corruption of ""five-penny bit,"" a Spanish coin worth half a real or 6.25 cents. It was called fourpence in New England, fip in Pennsylvania, sixpence in New York, and a picayune in Louisiana. (Webster's Dictionary)",1841-04-01,New Bedford (Mass.),"Author (aut): Taber, Charles, 1822-1887","Addressee (rcp): Cope, Francis Reeve, 1821-1909",1841,4,1
356,"1841 April 30, Woodbourne, to my dear Brother, Philadelphia",,1841-04-30,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Alfred, 1806-1875",1841,4,30
357,"1841 May 31, Woodbourne, to Dear Brother, Philadelphia",,1841-05-31,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Alfred, 1806-1875",1841,5,31
358,"1841 July 2, Woodbourne, to Dear Brother, Philadelphia",,1841-07-02,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Alfred, 1806-1875",1841,7,2
359,"Letter from Nathan Dunn to Thomas Pim Cope, 1841 July 13",,1841-07-13,Philadelphia (Pa.),"Author (aut): Dunn, Nathan, 1782-1844","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1841,7,13
360,"1841 August 2, Philada, to Father, West Chester, Pa.",,1841-08-02,Philadelphia (Pa.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1841,8,2
361,"1841 August 16, Woodbourne, to Dear Brother, Philadelphia",,1841-08-16,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Alfred, 1806-1875",1841,8,16
362,"1841 September 29, Boston, to Father, Philadelphia",,1841-09-29,Boston (Mass.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Henry, 1793-1865",1841,9,29
363,"1841 September 29, to Mother, Philadelphia","Letter addressed to ""Henry & Alfred Cope, Philadelphia"" with ""R.R. Cope"" written underneath.
 
 Notes in different hands on the address page read ""T.P.C. voyage to Boston with Uncle Alfred"" and ""'sent with (see Francis R. Copes) 9/29/1841' on note w/ letter.",1841-09-29,,"Author (aut): Cope, Thomas Pim, 1823-1900","Addressee (rcp): Cope, Rachel Reeve, 1794-1863",1841,9,29
364,"1841 October 3, End of Commercial wharf Boston, to Mother, Philadelphia","Letter addressed to ""Henry & Alfred Cope, Philadelphia"" with ""R.R. Cope"" written below.
 
 Desribes a visit to the Bunker Hill Memorial while still under construction. The monument, begun in 1827, would be fully erected in 1842 as the first public obelisk in the United States.",1841-10-03,Boston (Mass.),"Author (aut): Cope, Thomas Pim, 1823-1900","Addressee (rcp): Cope, Alfred, 1806-1875",1841,10,3
365,"1841 October 3, Woodbourne, to Dear Brother, Philadelphia",,1841-10-03,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873|Author (aut): Cope, Susan L. Newbold, 1805-1872","Addressee (rcp): Cope, Alfred, 1806-1875|Addressee (rcp): Cope, Hannah Edge, 1814-1843",1841,10,3
366,"1841 December 27, Woodbourne, to Dear Brother, Philadelphia",,1841-12-27,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Alfred, 1806-1875",1841,12,27
367,"Letter from Henry Cope, Woodbourne, Pennsylvania, to Father, 5 September 1842",,1842-05-09,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1842,5,9
368,"Letter from Captain Miercken to Alfred Cope and Henry Cope, 1842 May 21",,1842-05-21,,,"Addressee (rcp): Cope, Alfred, 1806-1875|Addressee (rcp): Cope, Henry, 1793-1865",1842,5,21
369,"1842 May 25, New Bedford, to Francis Reeve Cope, Philadelphia",,1842-05-25,New Bedford (Mass.),"Author (aut): Taber, Charles, 1822-1887","Addressee (rcp): Cope, Francis Reeve, 1821-1909",1842,5,25
370,"1842 June 9, Trenton, to William D. Cope Esteemed Friend, Susquehanna",,1842-06-09,Trenton (N.J.),"Author (aut): Gummere, Samuel R., b. 1799","Addressee (rcp): Cope, William D. (William Drinker), 1798-1873",1842,6,9
371,"1842 June 15, Woodbourne, to Dear Brother, Philadelphia",,1842-06-15,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873|Author (aut): Cope, Susan L. Newbold, 1805-1872","Addressee (rcp): Cope, Alfred, 1806-1875",1842,6,15
372,"1842 August 15, Philadelphia, to My Dear Parents","Letter is half typed and half a transcribed photocopy, original not present.",1842-08-15,Philadelphia (Pa.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854|Addressee (rcp): Haines, Mary D. (Mary Drinker Cope), 1819-1890",1842,8,15
373,"Letter from Henry Cope, Philadelphia, Pennsylvania, to Parents 15 August 1842",,1842-08-15,Philadelphia (Pa.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854|Addressee (rcp): Cope, Elizabeth W. (Elizabeth Stokes Waln), 1780-1852",1842,8,15
374,"1842 August 17, Schooley's Mountain, to Rachel Reeve Cope","Note in another hand: Eleanor Cope Tyson to her sister iin law Rachel R. Cope; Schooley's Mountain (N.J.) note from OCLC: History of Morris County, N.J., 1914 (Schooleys Mountain; health & summer resort with mineral spring)",1842-08-17,Schooleys Mountain (N.J.),"Author (aut): Tyson, Eleanor Cope, 1807-1847","Addressee (rcp): Cope, Rachel Reeve, 1794-1863",1842,8,17
375,"1842 August 27, Chester, to Henry","Letter contains Thomas P. Cope's response to the death of Caleb Pleasants, including his concern about who will raise Pleasants' children.",1842-08-27,Chester (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Cope, Henry, 1793-1865",1842,8,27
376,"1842 August 31, to Father, Woodbourne","Letter addressed to William D. Cope's home at Woodbourne in Susquehanna County, Pennsylvania, ""for Henry Cope.""
 
 Embossing in ornate ovular shape with ""BATH"" inside.
 
 The tariff bill mentioned is the Tariff Act of 1842, also known as the ""Black Tariff"" which reversed the policies of the Compromise Tariff of 1833 and was itself replaced by the Walker Tariff in 1846.",1842-08-31,Philadelphia (Pa.),"Author (aut): Cope, Thomas Pim, 1823-1900","Addressee (rcp): Cope, Henry, 1793-1865",1842,8,31
377,"1842 September 3, Philadelphia, to Father, Woodbourne",,1842-09-03,Philadelphia (Pa.),"Author (aut): Cope, Thomas Pim, 1823-1900","Addressee (rcp): Cope, Henry, 1793-1865",1842,9,3
378,"1842 September 5, Woodbourne, to My dear Father",,1842-09-05,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1842,9,5
379,"1842 October 25, Woodbourne, to Dear Brother, Philadelphia",,1842-10-25,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1842,10,25
380,"1842 November 27, Woodbourne, to Rachel R. Cope, Philadelphia",,1842-11-27,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, Susan L. Newbold, 1805-1872","Addressee (rcp): Cope, Rachel Reeve, 1794-1863",1842,11,27
381,"1843 January 18, Woodbourne, to Dear Brother, Philadelphia",,1843-01-18,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1843,1,18
382,"1843 March 4, Washington, to Thomas P. Cope, Philadelphia",,1843-03-04,Washington (D.C.),"Author (aut): Sergeant, John, 1779-1852","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1843,3,4
383,"Letter to Benjamin H. Hinchman, 1843 March 27",,1843-03-27,,,"Addressee (rcp): Hinchman, Benjamin H.",1843,3,27
384,"1843 April 27, Woodbourne, to My dear Sister",,1843-04-27,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, Susan L. Newbold, 1805-1872","Addressee (rcp): Cope, Rachel Reeve, 1794-1863",1843,4,27
385,"Memorandum for Mr. Guillou, 1843 May 18",,1843-05-18,,,"Addressee (rcp): Guillou, Constant, 1812-1872",1843,5,18
386,"Letter from Constant Guillou to Thomas Pim Cope, 1843 May 20",,1843-05-20,Philadelphia (Pa.),"Author (aut): Guillou, Constant, 1812-1872","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1843,5,20
387,"Letter from Thomas Pim Cope to Constant Guillou, 1843 May 22",,1843-05-22,,"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Guillou, Constant, 1812-1872",1843,5,22
388,"Letter from Henry Cope, Cape May, to Father, 1843 August 13",,1843-08-13,Cape May (N.J.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1843,8,13
389,"1843 August 15, Philada., to Henry","Letter includes Thomas P. Cope's recollection of the 1816 death of his son, Francis.",1843-08-15,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Cope, Henry, 1793-1865",1843,8,15
390,"1843 August 17, Philadelphia, to Dear Mother",,1843-08-17,Philadelphia (Pa.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Rachel Reeve, 1794-1863",1843,8,17
391,"1843 August 21, Philadelphia, to Father, Cape May",,1843-08-21,Philadelphia (Pa.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Henry, 1793-1865",1843,8,21
392,"1843 August 24, Roxborough, to Sisters, Boston","Includes handwritten notes by Elizabeth Stewardson Cope, daughter of recipient Anna Stewardson (Brown) Cope.",1843-08-24,"Roxborough (Philadelphia, Pa.)","Author (aut): Brown, William|Author (aut): Brown, Mary","Addressee (rcp): Brown, Susanna Sansom, 1826-1909|Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1843,8,24
393,"1843 August 31, Philadelphia, to Dear Parents",,1843-08-31,Philadelphia (Pa.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1843,8,31
394,"1843 September 5, Philadelphia, to Dear Father",,1843-09-05,Philadelphia (Pa.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1843,9,5
395,"1843 September 11, Boston, to Cousins Anna and Susan, Salem",,1843-09-11,Boston (Mass.),"Author (aut): Earle, Robert, b. 1806?","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916|Addressee (rcp): Brown, Susanna Sansom, 1826-1909",1843,9,11
396,"1843 September 21, Philadelphia, to Father",,1843-09-21,Philadelphia (Pa.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Henry, 1793-1865",1843,9,21
397,"1843 October 3, Richmond, to Dear Father",,1843-10-03,Richmond (Ind.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1843,10,3
398,"1843 October 8, Woodbourne, to my dear Father, Philadelphia",,1843-10-08,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, Susan L. Newbold, 1805-1872","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1843,10,8
399,"1843 November 9, to Anna, Providence",,1843-11-09,Philadelphia (Pa.),"Author (aut): Hartshorne, Mary Elizabeth Brown, b. 1823","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1843,11,9
400,"1843 December 26, Woodbourne, to Dear Brother, Philadelphia",,1843-12-26,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1843,12,26
402,"1844 January 16, Woodbourne, to My Dear Sister, Philadelphia",,1844-01-16,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, Susan L. Newbold, 1805-1872","Addressee (rcp): Cope, Rachel Reeve, 1794-1863",1844,1,16
403,"1844 February 7, Philadelphia, to Henry Cope",,1844-02-07,Philadelphia (Pa.),"Author (aut): Sharpless, Blakey","Addressee (rcp): Cope, Henry, 1793-1865",1844,2,7
404,"Envelope of letter from Franklin Lusk to Thomas Pim Cope, 1844 February 26",,1844-02-26,"Montrose (Susquehanna County, Pa.)","Author (aut): Lusk, Franklin","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1844,2,26
405,"Letter from Constant Guillou to Job Roberts Tyson, 1844 May 20",,1844-05-20,,"Author (aut): Guillou, Constant, 1812-1872","Addressee (rcp): Tyson, Job R. (Job Roberts), 1803-1858",1844,5,20
406,"Envelope of letter from Constant Guillou to Job Roberts Tyson, 1844 May or March 20",,1844-05-20,,"Author (aut): Guillou, Constant, 1812-1872","Addressee (rcp): Tyson, Job R. (Job Roberts), 1803-1858",1844,5,20
407,"Letter from Job Roberts Tyson to William Morris Meredith, 1844 July 10",,1844-07-10,,"Author (aut): Tyson, Job R. (Job Roberts), 1803-1858","Addressee (rcp): Waln, Edward, 1811-1887",1844,7,10
408,"1844 July 12, Franklin, to my dear Susan, Woodbourne",,1844-07-12,Bristol (Pa.),"Author (aut): Vanuxem, Mary Ann Newbold Jenks, 1801-1871","Addressee (rcp): Cope, Susan L. Newbold, 1805-1872",1844,7,12
409,"1844 July 21, Cape May, to Brother, Philadelphia, Pa.",,1844-07-21,Cape May (N.J.),"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, Alfred, 1806-1875",1844,7,21
410,"Letter from Alfred Cope, Philadelphia, to Henry Cope, 22 July 1844",,1844-07-22,Philadelphia (Pa.),"Author (aut): Cope, Alfred, 1806-1875","Addressee (rcp): Cope, Henry, 1793-1865",1844,7,22
411,"Letter from Henry Cope to Brother, 4 August 1844",,1844-08-04,,"Author (aut): Cope, Henry, 1793-1865","Addressee (rcp): Cope, Alfred, 1857-1897",1844,8,4
412,"1844 August 24, Camden, to Esteemed Friend","Letter has note on back ""interesting specimen of narrow-minded Quakerism"" (in whose hand? Elizabeth S. Cope?).",1844-08-24,Camden (N.J.),"Author (aut): Wills, Amy","Addressee (rcp): Cope, Henry, 1850-1924",1844,8,24
413,"1844 September 8, to Thomas P. Cope Esquire",,1844-09-08,Luzerne County (Pa.),"Author (aut): Drinker, Henry W. (Henry Waln), 1787-1866","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1844,9,8
414,"1844 September 12, Philadelphia, to Dear uncle Thomas","Trust estate of Annabella C. Wistar and of Bartholomew Wistar dec., receipts and releases to Thos. Evans (13 items, 1841-1866)",1844-09-12,Philadelphia (Pa.),"Author (aut): Wistar, Annabella Cresson, 1818-1869","Addressee (rcp): Evans, Thomas, 1798-1868",1844,9,12
415,"1844 September 15, Woodbourne, to Dear Brother, Philadelphia",,1844-09-15,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Alfred, 1806-1875",1844,9,15
416,"1844 September 26, Philadelphia, to Thomas P. Cope",,1844-09-26,Philadelphia (Pa.),"Author (aut): Ingersoll, Joseph R. (Joseph Reed), 1786-1868","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",1844,9,26
417,"1844 November 18, Woodbourne, to Dear Brother, Philadelphia",,1844-11-18,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1844,11,18
418,"Letter, 1845 January 24",,1845-01-24,,,,1845,1,24
419,"Letter from Constant Guillou to Job Roberts Tyson, 1845 February 13",,1845-02-13,,"Author (aut): Guillou, Constant, 1812-1872","Addressee (rcp): Tyson, Job R. (Job Roberts), 1803-1858",1845,2,13
420,"1845 February 15, Woodbourne, to Dear Brother, Philadelphia",,1845-02-15,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873|Author (aut): Cope, Susan L. Newbold, 1805-1872","Addressee (rcp): Cope, Henry, 1793-1865|Addressee (rcp): Cope, Rachel Reeve, 1794-1863",1845,2,15
421,"Letter from Constant Guillou to Job Roberts Tyson, 1845 February 18",,1845-02-18,,"Author (aut): Guillou, Constant, 1812-1872","Addressee (rcp): Tyson, Job R. (Job Roberts), 1803-1858",1845,2,18
422,"Letter from Job Roberts Tyson to William Morris Meredith, 1845 February 19",,1845-02-19,,"Author (aut): Tyson, Job R. (Job Roberts), 1803-1858","Addressee (rcp): Meredith, William M. (William Morris), 1799-1873",1845,2,19
423,"1845 February 24, Trenton, to William D. Cope",,1845-02-24,Trenton (N.J.),"Author (aut): Gummere, Samuel R., b. 1799","Addressee (rcp): Cope, William D. (William Drinker), 1798-1873",1845,2,24
424,"1845 May 22, Woodbourne, to Dear Brother, Philadelphia",,1845-05-22,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, William D. (William Drinker), 1798-1873","Addressee (rcp): Cope, Henry, 1793-1865",1845,5,22
425,"1845 June 25, Philadephia, to Father, Saratoga (N.Y.)","Unidentified person Mary Corbit is the mother of a Henry Corbit as indicated in the letter. Francis Cope crossed out ""Henry Corbit's mother"" and wrote in Mary Corbit.",1845-06-25,Philadelphia (Pa.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Henry, 1793-1865",1845,6,25
426,"Letter from William Morris Meredith to Job Roberts Tyson, 1845 July 16",,1845-07-16,,"Author (aut): Meredith, William M. (William Morris), 1799-1873","Addressee (rcp): Tyson, Job R. (Job Roberts), 1803-1858",1845,7,16
